2025-07-30T15:08:53.533755,win,"[('ai', (0, 1)), ('human', (0, 0)), ('ai', (1, 0)), ('human', (1, 1)), ('ai', (2, 0)), ('human', (2, 2))]"
2025-07-30T15:09:06.875417,lose,"[('ai', (1, 0)), ('human', (0, 0)), ('ai', (1, 1)), ('human', (1, 2)), ('ai', (2, 1)), ('human', (0, 1)), ('ai', (0, 2)), ('human', (2, 2)), ('ai', (2, 0))]"
2025-07-30T15:09:15.578149,win,"[('ai', (0, 2)), ('human', (1, 1)), ('ai', (1, 0)), ('human', (0, 1)), ('ai', (0, 0)), ('human', (2, 1))]"
2025-07-30T15:09:22.572047,win,"[('ai', (1, 2)), ('human', (1, 1)), ('ai', (1, 0)), ('human', (0, 0)), ('ai', (0, 2)), ('human', (2, 2))]"
2025-07-30T15:09:26.558437,win,"[('ai', (0, 1)), ('human', (2, 0)), ('ai', (1, 0)), ('human', (1, 1)), ('ai', (1, 2)), ('human', (0, 2))]"
2025-07-30T15:09:32.341915,win,"[('ai', (0, 1)), ('human', (1, 2)), ('ai', (2, 1)), ('human', (1, 1)), ('ai', (2, 2)), ('human', (1, 0))]"
2025-07-30T15:09:58.565256,draw,"[('ai', (1, 1)), ('human', (2, 2)), ('ai', (2, 1)), ('human', (0, 1)), ('ai', (0, 2)), ('human', (2, 0)), ('ai', (1, 0)), ('human', (1, 2)), ('ai', (0, 0))]"
2025-07-30T15:10:08.041658,win,"[('ai', (2, 0)), ('human', (1, 1)), ('ai', (0, 2)), ('human', (1, 2)), ('ai', (2, 2)), ('human', (1, 0))]"
2025-07-30T15:10:18.223274,win,"[('ai', (1, 0)), ('human', (1, 1)), ('ai', (0, 1)), ('human', (2, 1)), ('ai', (0, 0)), ('human', (2, 0)), ('ai', (1, 2)), ('human', (0, 2))]"
2025-07-30T15:13:38.206012,win,"[('ai', (2, 1)), ('human', (0, 0)), ('ai', (0, 1)), ('human', (1, 1)), ('ai', (2, 2)), ('human', (2, 0)), ('ai', (1, 0)), ('human', (0, 2))]"
2025-07-30T15:13:44.623144,win,"[('ai', (0, 2)), ('human', (1, 1)), ('ai', (2, 1)), ('human', (1, 2)), ('ai', (2, 0)), ('human', (2, 2)), ('ai', (1, 0)), ('human', (0, 0))]"
2025-07-30T15:13:50.638345,win,"[('ai', (2, 0)), ('human', (1, 1)), ('ai', (2, 2)), ('human', (0, 2)), ('ai', (1, 0)), ('human', (2, 1)), ('ai', (1, 2)), ('human', (0, 1))]"
2025-07-30T15:13:58.356653,draw,"[('ai', (0, 2)), ('human', (2, 0)), ('ai', (2, 2)), ('human', (1, 2)), ('ai', (1, 0)), ('human', (1, 1)), ('ai', (2, 1)), ('human', (0, 0)), ('ai', (0, 1))]"
2025-07-30T15:14:02.639630,win,"[('ai', (0, 1)), ('human', (1, 1)), ('ai', (1, 2)), ('human', (2, 2)), ('ai', (2, 1)), ('human', (0, 0))]"
2025-07-30T15:14:07.607775,lose,"[('ai', (1, 1)), ('human', (2, 1)), ('ai', (0, 1)), ('human', (1, 2)), ('ai', (0, 0)), ('human', (0, 2)), ('ai', (2, 2))]"
2025-07-30T15:14:13.553022,lose,"[('ai', (0, 1)), ('human', (1, 1)), ('ai', (0, 0)), ('human', (1, 2)), ('ai', (1, 0)), ('human', (0, 2)), ('ai', (2, 0))]"
2025-07-30T15:14:24.268297,win,"[('ai', (2, 0)), ('human', (1, 1)), ('ai', (1, 2)), ('human', (0, 1)), ('ai', (0, 0)), ('human', (2, 1))]"
2025-07-30T15:14:28.343756,win,"[('ai', (1, 0)), ('human', (1, 1)), ('ai', (2, 0)), ('human', (0, 0)), ('ai', (0, 2)), ('human', (2, 2))]"
2025-07-30T15:14:35.372004,win,"[('ai', (0, 1)), ('human', (1, 1)), ('ai', (1, 0)), ('human', (2, 0)), ('ai', (0, 2)), ('human', (0, 0)), ('ai', (2, 1)), ('human', (2, 2))]"
2025-07-30T15:14:45.171185,draw,"[('ai', (2, 0)), ('human', (2, 2)), ('ai', (1, 2)), ('human', (1, 1)), ('ai', (0, 0)), ('human', (0, 1)), ('ai', (2, 1)), ('human', (1, 0)), ('ai', (0, 2))]"
2025-07-30T15:14:52.002916,draw,"[('ai', (1, 0)), ('human', (1, 2)), ('ai', (0, 1)), ('human', (1, 1)), ('ai', (2, 2)), ('human', (0, 0)), ('ai', (2, 1)), ('human', (2, 0)), ('ai', (0, 2))]"
2025-07-30T15:14:58.301841,win,"[('ai', (0, 2)), ('human', (2, 0)), ('ai', (2, 1)), ('human', (1, 1)), ('ai', (0, 0)), ('human', (1, 2)), ('ai', (2, 2)), ('human', (1, 0))]"
2025-07-30T15:15:05.141328,draw,"[('ai', (0, 1)), ('human', (1, 2)), ('ai', (1, 0)), ('human', (1, 1)), ('ai', (0, 2)), ('human', (2, 0)), ('ai', (2, 1)), ('human', (0, 0)), ('ai', (2, 2))]"
2025-07-30T15:15:10.705103,win,"[('ai', (1, 0)), ('human', (1, 1)), ('ai', (1, 2)), ('human', (0, 2)), ('ai', (2, 1)), ('human', (2, 0))]"
2025-07-30T15:15:14.716513,lose,"[('ai', (2, 1)), ('human', (1, 1)), ('ai', (0, 2)), ('human', (2, 0)), ('ai', (1, 2)), ('human', (0, 1)), ('ai', (2, 2))]"
2025-07-30T15:15:35.422009,win,"[('ai', (0, 0)), ('human', (0, 2)), ('ai', (1, 2)), ('human', (1, 1)), ('ai', (0, 1)), ('human', (2, 0))]"
2025-07-30T15:15:42.311309,win,"[('ai', (0, 0)), ('human', (2, 2)), ('ai', (1, 2)), ('human', (1, 1)), ('ai', (0, 2)), ('human', (0, 1)), ('ai', (1, 0)), ('human', (2, 1))]"
2025-07-30T15:15:46.451777,win,"[('ai', (0, 1)), ('human', (1, 1)), ('ai', (0, 0)), ('human', (0, 2)), ('ai', (2, 2)), ('human', (2, 0))]"
2025-07-30T15:15:51.235303,win,"[('ai', (0, 0)), ('human', (1, 1)), ('ai', (2, 1)), ('human', (0, 2)), ('ai', (0, 1)), ('human', (2, 0))]"
